month,day,fajr,sunrise,dhuhr,asr,maghrib,isha
5,29,04:21,05:45,12:02,15:27,18:18,19:33
5,30,04:21,05:45,12:02,15:27,18:18,19:33
5,31,04:21,05:45,12:02,15:28,18:19,19:34
6,1,04:21,05:45,12:02,15:28,18:19,19:34
6,2,04:21,05:45,12:03,15:28,18:19,19:34
6,3,04:21,05:45,12:03,15:29,18:19,19:35
6,4,04:21,05:45,12:03,15:29,18:20,19:35
6,5,04:21,05:45,12:03,15:29,18:20,19:35
6,6,04:21,05:45,12:03,15:30,18:20,19:36
6,7,04:21,05:45,12:03,15:30,18:20,19:36
6,8,04:21,05:46,12:04,15:30,18:20,19:36
6,9,04:21,05:46,12:04,15:30,18:21,19:37
6,10,04:21,05:46,12:04,15:31,18:21,19:37
6,11,04:21,05:46,12:04,15:31,18:21,19:37
6,12,04:21,05:46,12:04,15:31,18:22,19:37
6,13,04:21,05:46,12:05,15:32,18:22,19:38
6,14,04:22,05:47,12:05,15:32,18:22,19:38
6,15,04:22,05:47,12:05,15:32,18:22,19:38
6,16,04:22,05:47,12:05,15:32,18:23,19:39
6,17,04:22,05:47,12:05,15:33,18:23,19:39
6,18,04:22,05:47,12:06,15:33,18:23,19:39
6,19,04:22,05:48,12:06,15:33,18:23,19:39
6,20,04:22,05:48,12:06,15:33,18:24,19:40
6,21,04:23,05:48,12:06,15:34,18:24,19:40
6,22,04:23,05:48,12:07,15:34,18:24,19:40
6,23,04:23,05:48,12:07,15:34,18:24,19:40
6,24,04:23,05:48,12:07,15:34,18:24,19:40
6,25,04:24,05:49,12:07,15:34,18:24,19:41
6,26,04:24,05:49,12:07,15:35,18:25,19:41
6,27,04:24,05:49,12:08,15:35,18:25,19:41
6,28,04:24,05:49,12:08,15:35,18:25,19:41
6,29,04:25,05:50,12:08,15:35,18:25,19:41
6,30,04:25,05:50,12:08,15:35,18:26,19:41
7,1,04:25,05:50,12:08,15:35,18:26,19:41
7,2,04:25,05:50,12:09,15:35,18:26,19:42
7,3,04:26,05:51,12:09,15:36,18:26,19:42
7,4,04:26,05:51,12:09,15:36,18:26,19:42
7,5,04:26,05:51,12:09,15:36,18:26,19:42
7,6,04:27,05:51,12:09,15:36,18:26,19:42
7,7,04:27,05:52,12:09,15:36,18:26,19:42
7,8,04:27,05:52,12:10,15:36,18:26,19:42
7,9,04:27,05:52,12:10,15:36,18:27,19:42
7,10,04:28,05:52,12:10,15:36,18:27,19:42
7,11,04:28,05:52,12:10,15:36,18:27,19:42
7,12,04:28,05:53,12:10,15:36,18:27,19:42
7,13,04:29,05:53,12:10,15:36,18:27,19:42
7,14,04:29,05:53,12:10,15:36,18:27,19:42
7,15,04:29,05:53,12:10,15:36,18:27,19:42
7,16,04:30,05:53,12:11,15:36,18:27,19:42
7,17,04:30,05:54,12:11,15:36,18:27,19:41
7,18,04:30,05:54,12:11,15:35,18:27,19:41
7,19,04:31,05:54,12:11,15:35,18:27,19:41
7,20,04:31,05:54,12:11,15:35,18:26,19:41
7,21,04:31,05:54,12:11,15:35,18:26,19:41
7,22,04:31,05:55,12:11,15:35,18:26,19:41
7,23,04:32,05:55,12:11,15:34,18:26,19:40
